International Designator,Launch Vehicle,Payload,Country,Launch date
1969-085,SL-4 R/B,SOYUZ 6,CIS,1969-10-11
1969-086,SL-4 R/B,SOYUZ 7,CIS,1969-10-12
1969-087,SL-4 R/B,SOYUZ 8,CIS,1969-10-13
1969-088,SL-7 R/B,INTERCOSMOS 1,CIS,1969-10-14
1969-089,SL-3 R/B,COSMOS 302,CIS,1969-10-17
1969-090,SL-7 R/B,COSMOS 303,CIS,1969-10-18
1969-091,SL-8 R/B,COSMOS 304,CIS,1969-10-21
1969-092,SL-12 R/B,COSMOS 305,CIS,1969-10-22
1969-093,SL-4 R/B,COSMOS 306,CIS,1969-10-24
1969-094,SL-7 R/B,COSMOS 307,CIS,1969-10-24
1969-095,N/A,OPS 8455,US,1969-10-24
1969-096,SL-7 R/B,COSMOS 308,CIS,1969-11-04
1969-097,SCOUT B R/B|SCOUT B DEB,AZUR (GRS A),GER,1969-11-08
1969-098,SL-4 R/B|COSMOS 309 DEB,COSMOS 309,CIS,1969-11-12
1969-099,SATURN 5 R/B,APOLLO 12 CM|APOLLO 12 LM APS,US,1969-11-14
1969-100,SL-3 R/B,COSMOS 310,CIS,1969-11-15
1969-101,DELTA 1 R/B,SKYNET 1,UK,1969-11-22
1969-102,SL-7 R/B,COSMOS 311,CIS,1969-11-24
1969-103,SL-8 R/B,COSMOS 312,CIS,1969-11-24
1969-104,SL-4 R/B,COSMOS 313,CIS,1969-12-03
1969-105,N/A,OPS 6617,US,1969-12-04
1969-106,SL-7 R/B,COSMOS 314,CIS,1969-12-11
1969-107,SL-8 R/B|SL-8 DEB,COSMOS 315,CIS,1969-12-20
1969-108,COSMOS 316 DEB|SL-11 R/B,COSMOS 316,CIS,1969-12-23
1969-109,SL-4 R/B|COSMOS 317 DEB,COSMOS 317,CIS,1969-12-23
1969-110,SL-7 R/B,INTERCOSMOS 2,CIS,1969-12-25
1970-001,SL-4 R/B,COSMOS 318,CIS,1970-01-09
1970-002,N/A,OPS 6531,US,1970-01-14
1970-003,DELTA 1 R/B,INTELSAT 3-F6,ITSO,1970-01-15
1970-004,SL-7 R/B,COSMOS 319,CIS,1970-01-15
1970-005,SL-7 R/B|SL-7 DEB,COSMOS 320,CIS,1970-01-16
1970-006,SL-7 R/B|SL-7 DEB,COSMOS 321,CIS,1970-01-20
1970-007,SL-3 R/B,COSMOS 322,CIS,1970-01-21
1970-008,DELTA 1 R/B,ITOS 1 (TIROS M)|OSCAR 5 (AO-5),US,1970-01-23
1970-009,N/A,SERT 2,US,1970-02-04
1970-010,SL-3 R/B,COSMOS 323,CIS,1970-02-10
1970-011,N/A,OHSUMI,JPN,1970-02-11
1970-012,THOR BURNER 2 R/B,OPS 0054 (DMSP 5A F1),US,1970-02-11
1970-013,SL-6 PLAT|SL-6 R/B(1)|SL-6 R/B(2),MOLNIYA 1-13,CIS,1970-02-19
1970-014,SL-7 R/B,COSMOS 324,CIS,1970-02-27
1970-015,SL-3 R/B,COSMOS 325,CIS,1970-03-04
1970-016,N/A,OPS 0440|OPS 3402,US,1970-03-04
1970-017,N/A,DIAL-WIKA|DIAL-MIKA & DIAMANT R/B,GER,1970-03-10
1970-018,SL-3 R/B,COSMOS 326,CIS,1970-03-13
1970-019,SL-3 R/B|METEOR 1-3 DEB,METEOR 1-3,CIS,1970-03-17
1970-020,SL-7 R/B,COSMOS 327,CIS,1970-03-18
1970-021,DELTA 1 R/B|DELTA 1 DEB,NATO 2A,NATO,1970-03-20
1970-022,SL-4 R/B,COSMOS 328,CIS,1970-03-27
1970-023,SL-4 R/B,COSMOS 329,CIS,1970-04-03
1970-024,SL-8 R/B,COSMOS 330,CIS,1970-04-07
1970-025,THORAD AGENA D DEB|THORAD AGENA D R/B|THORAD AGENA D DEB,NIMBUS 4|TOPO 1,US,1970-04-08
1970-026,SL-3 R/B,COSMOS 331,CIS,1970-04-08
1970-027,N/A,OPS 7044 (VELA 12)|OPS 7033 (VELA 11),US,1970-04-08
1970-028,SL-8 R/B|COSMOS 332 DEB,COSMOS 332,CIS,1970-04-11
1970-029,SATURN 5 R/B,APOLLO 13 CM,US,1970-04-11
1970-030,SL-4 R/B|COSMOS 333 DEB,COSMOS 333,CIS,1970-04-15
1970-031,N/A,OPS 2863,US,1970-04-15
1970-032,DELTA 1 R/B,INTELSAT 3-F7,ITSO,1970-04-23
1970-033,SL-7 R/B|COSMOS 334 DEB,COSMOS 334,CIS,1970-04-23
1970-034,CZ-1 R/B|CZ-1 DEB,DFH 1,PRC,1970-04-24
1970-035,SL-7 R/B,COSMOS 335,CIS,1970-04-24
1970-036,SL-8 R/B,COSMOS 336|COSMOS 337|COSMOS 338|COSMOS 339|COSMOS 340|COSMOS 341|COSMOS 342|COSMOS 343,CIS,1970-04-25
1970-037,SL-3 R/B|METEOR 1-4 DEB,METEOR 1-4,CIS,1970-04-28
1970-038,SL-3 R/B,COSMOS 344,CIS,1970-05-12
1970-039,SL-3 R/B,COSMOS 345,CIS,1970-05-20
1970-040,N/A,OPS 4720|OPS 8520,US,1970-05-20
1970-041,SL-4 R/B,SOYUZ 9,CIS,1970-06-01
1970-042,SL-3 R/B,COSMOS 346,CIS,1970-06-10
1970-043,SL-7 R/B,COSMOS 347,CIS,1970-06-12
1970-044,SL-7 R/B|SL-7 DEB,COSMOS 348,CIS,1970-06-13
1970-045,SL-3 R/B,COSMOS 349,CIS,1970-06-17
1970-046,ATLAS AGENA D R/B,OPS 5346,US,1970-06-19
1970-047,SL-3 R/B,METEOR 1-5,CIS,1970-06-23
1970-048,N/A,OPS 6820,US,1970-06-25
1970-049,SL-6 PLAT|SL-6 R/B(1)|SL-6 R/B(2),MOLNIYA 1-14,CIS,1970-06-26
1970-050,SL-4 R/B,COSMOS 350,CIS,1970-06-26
1970-051,SL-7 R/B,COSMOS 351,CIS,1970-06-27
1970-052,SL-3 R/B,COSMOS 352,CIS,1970-07-07
1970-053,SL-4 R/B,COSMOS 353,CIS,1970-07-09
1970-054,N/A,OPS 4324,US,1970-07-23
1970-055,DELTA 1 R/B,INTELSAT 3-F8,ITSO,1970-07-23
1970-056,SL-11 R/B|SL-11 PLAT,COSMOS 354,CIS,1970-07-28
1970-057,SL-7 R/B,INTERCOSMOS 3,CIS,1970-08-07
1970-058,SL-3 R/B,COSMOS 355,CIS,1970-08-07
1970-059,SL-7 R/B,COSMOS 356,CIS,1970-08-10
1970-060,SL-6 R/B|SL-6 PLAT,VENERA 7,CIS,1970-08-17
1970-061,N/A,OPS 7874,US,1970-08-18
1970-062,N/A,SKYNET 1B,UK,1970-08-19
1970-063,SL-7 R/B,COSMOS 357,CIS,1970-08-19
1970-064,SL-8 R/B|SL-8 DEB,COSMOS 358,CIS,1970-08-20
1970-065,SL-6 PLAT|SL-6 R/B|SL-6 DEB,COSMOS 359,CIS,1970-08-22
1970-066,N/A,OPS 8329,US,1970-08-26
1970-067,SCOUT A R/B|SCOUT A DEB|NNSS 19 DEB,NNSS 19 (TRANSIT 19),US,1970-08-27
1970-068,SL-4 R/B|COSMOS 360 DEB,COSMOS 360,CIS,1970-08-29
1970-069,ATLAS AGENA R/B,OPS 7329,US,1970-09-01
1970-070,THOR BURNER 2 R/B,OPS 0203 (DMSP 5A F2),US,1970-09-03
1970-071,SL-4 R/B|COSMOS 361 DEB,COSMOS 361,CIS,1970-09-08
1970-072,SL-12 R/B|SL-12 PLAT,LUNA 16,CIS,1970-09-12
1970-073,SL-7 R/B,COSMOS 362,CIS,1970-09-16
1970-074,SL-4 R/B,COSMOS 363,CIS,1970-09-17
1970-075,SL-4 R/B|COSMOS 364 DEB,COSMOS 364,CIS,1970-09-22
1970-076,SL-11 PLAT|SL-11 R/B,COSMOS 365,CIS,1970-09-25
1970-077,SL-6 PLAT|SL-6 R/B(1)|SL-6 R/B(2)|SL-6 DEB,MOLNIYA 1-15,CIS,1970-09-29
1970-078,SL-4 R/B,COSMOS 366,CIS,1970-10-01
1970-079,COSMOS 367 DEB|COSMOS 367 DEB [PELPS]|COSMOS 367 DEB|COSMOS 367 DEB [ANTENNA,COSMOS 367,CIS,1970-10-03
1970-080,SL-4 R/B|SL-4 DEB|COSMOS 368 DEB,COSMOS 368,CIS,1970-10-08
1970-081,SL-7 R/B,COSMOS 369,CIS,1970-10-08
1970-082,SL-4 R/B|COSMOS 370 DEB,COSMOS 370,CIS,1970-10-09
1970-083,SL-8 R/B,COSMOS 371,CIS,1970-10-12
1970-084,SL-7 R/B,INTERCOSMOS 4,CIS,1970-10-14
1970-085,SL-3 R/B|SL-3 DEB,METEOR 1-6,CIS,1970-10-15
1970-086,SL-8 R/B|SL-8 DEB,COSMOS 372,CIS,1970-10-16
1970-087,SL-11 R/B,COSMOS 373,CIS,1970-10-20
1970-088,SL-12 R/B,ZOND 8,CIS,1970-10-20
1970-089,COSMOS 374 DEB|SL-11 R/B|COSMOS 374 DEB,COSMOS 374,CIS,1970-10-23
1970-090,N/A,OPS 7568,US,1970-10-23
1970-091,COSMOS 375 DEB,COSMOS 375,CIS,1970-10-30
1970-092,SL-4 R/B|COSMOS 376 DEB,COSMOS 376,CIS,1970-10-30
1970-093,TITAN 3C TRANSTAGE R/B|TITAN 3C R/B(1),OPS 5960 (DSP 1),US,1970-11-06
1970-094,OFO 1 DEB,OFO 1|RMS,US,1970-11-09
1970-095,SL-12 R/B|SL-12 PLAT,LUNA 17,CIS,1970-11-10
1970-096,SL-4 R/B,COSMOS 377,CIS,1970-11-11
1970-097,SL-7 R/B,COSMOS 378,CIS,1970-11-17
1970-098,N/A,OPS 4992|OPS 6829,US,1970-11-18
1970-099,SL-4 R/B|SL-4 DEB,COSMOS 379,CIS,1970-11-24
1970-100,SL-7 R/B,COSMOS 380,CIS,1970-11-24
1970-101,SL-6 R/B(1)|SL-6 PLAT|SL-6 R/B(2),MOLNIYA 1-16,CIS,1970-11-27
1970-102,SL-8 R/B|SL-8 DEB,COSMOS 381,CIS,1970-12-02
1970-103,SL-12 R/B(AUX MOTOR)|SL-12 R/B(2)|SL-12 R/B(1)|SL-12 PLAT|SL-12 DEB|COSMOS 382 DEB,COSMOS 382,CIS,1970-12-02
1970-104,SL-4 R/B,COSMOS 383,CIS,1970-12-03
1970-105,SL-4 R/B|SL-4 DEB|COSMOS 384 DEB,COSMOS 384,CIS,1970-12-10
1970-106,DELTA 1 R/B(CEP 1)|NOAA 1 DEB,NOAA 1,US,1970-12-11
1970-107,SCOUT B R/B,EXPLORER 42 (SAS-1),US,1970-12-12
1970-108,SL-8 R/B,COSMOS 385,CIS,1970-12-12
1970-109,DIAMANT B R/B|DIAMANT B DEB,PEOLE,FR,1970-12-12
1970-110,SL-4 R/B|SL-4 DEB|COSMOS 386 DEB,COSMOS 386,CIS,1970-12-15
1970-111,SL-8 R/B|SL-8 DEB,COSMOS 387,CIS,1970-12-16
1970-112,SL-7 R/B,COSMOS 388,CIS,1970-12-18
1970-113,SL-3 R/B|SL-3 DEB,COSMOS 389,CIS,1970-12-18
1970-114,SL-6 R/B(1)|SL-6 PLAT|SL-6 DEB|SL-6 R/B(2)|MOLNIYA 1-17 DEB,MOLNIYA 1-17,CIS,1970-12-25
1971-000,US UNKNOWN 1 DEB,N/A,US,1971-01-01
1971-001,SL-4 R/B|COSMOS 390 DEB,COSMOS 390,CIS,1971-01-12
1971-002,SL-7 R/B,COSMOS 391,CIS,1971-01-14
1971-003,SL-3 R/B|SL-3 DEB,METEOR 1-7,CIS,1971-01-20
1971-004,SL-4 R/B,COSMOS 392,CIS,1971-01-21
1971-005,OPS 7776 DEB,OPS 7776,US,1971-01-21
1971-006,ATLAS CENTAUR R/B,INTELSAT 4-F2,ITSO,1971-01-26
1971-007,SL-7 R/B,COSMOS 393,CIS,1971-01-26
1971-008,SATURN 5 R/B,APOLLO 14 CM|APOLLO 14 LM,US,1971-01-31
1971-009,DELTA 1 R/B|DELTA 1 DEB,NATO 2B,NATO,1971-02-03
1971-010,SL-11 R/B|SL-11 DEB,COSMOS 394,CIS,1971-02-09
1971-011,M-4S R/B|M-4S DEB,TANSEI-1 (MS-T1),JPN,1971-02-16
1971-012,THOR BURNER 2 R/B,OPS 5268 (DMSP 5A F3)|OPS 5268 (CALSPHERE 3)|OPS 5268 (CALSPHERE 4)|OPS 5268 (CALSPHERE 5),US,1971-02-17
1971-013,SL-8 R/B|SL-8 DEB,COSMOS 395,CIS,1971-02-17
1971-014,SL-4 R/B|SL-4 DEB|COSMOS 396 DEB,COSMOS 396,CIS,1971-02-18
1971-015,COSMOS 397 DEB|SL-11 R/B|COSMOS 397 DEB,COSMOS 397,CIS,1971-02-25
1971-016,SL-4 R/B|SL-4 DEB,COSMOS 398,CIS,1971-02-26
1971-017,SL-4 R/B|COSMOS 399 DEB,COSMOS 399,CIS,1971-03-03
1971-018,CZ-1 R/B,SJ-1,PRC,1971-03-03
1971-019,DELTA 1 R/B(1)|DELTA 1 R/B(2)|DELTA 1 DEB,EXPLORER 43 (IMP-6),US,1971-03-13
1971-020,SL-8 R/B|SL-8 DEB,COSMOS 400,CIS,1971-03-18
1971-021,TITAN 34B AGENA D R/B,OPS 4788,US,1971-03-21
1971-022,N/A,OPS 5300,US,1971-03-24
1971-023,SL-4 R/B|COSMOS 401 DEB,COSMOS 401,CIS,1971-03-27
1971-024,THOR DELTA 1 R/B|THOR DELTA 1 DEB|ISIS 2 DEB|THOR DELTA 1 DEB,ISIS 2,CA,1971-04-01
1971-025,COSMOS 402 DEB [PELPS]|COSMOS 402 DEB|COSMOS 402 DEB [ANTENNA,COSMOS 402,CIS,1971-04-01
1971-026,SL-4 R/B,COSMOS 403,CIS,1971-04-02
1971-027,SL-11 R/B|SL-11 PLAT|SL-11 DEB,COSMOS 404,CIS,1971-04-04
1971-028,SL-3 R/B|SL-3 DEB|COSMOS 405 DEB,COSMOS 405,CIS,1971-04-07
1971-029,SL-4 DEB|COSMOS 406 DEB,COSMOS 406,CIS,1971-04-14
1971-030,DIAMANT B R/B|DIAMANT B DEB,TOURNESOL,FR,1971-04-15
1971-031,SL-3 R/B,METEOR 1-8,CIS,1971-04-17
1971-032,SL-13 R/B|SL-13 DEB,SALYUT 1,CIS,1971-04-19
1971-033,N/A,OPS 7899,US,1971-04-22
1971-034,SL-4 R/B,SOYUZ 10,CIS,1971-04-22
1971-035,SL-8 R/B|SL-8 DEB,COSMOS 407,CIS,1971-04-23
1971-036,N/A,SAN MARCO 3,IT,1971-04-24
1971-037,SL-7 R/B,COSMOS 408,CIS,1971-04-24
1971-038,SL-8 R/B,COSMOS 409,CIS,1971-04-28
1971-039,TITAN 3C TRANSTAGE R/B|TITAN 3C R/B(1),OPS 3811 (DSP 2),US,1971-05-05
1971-040,SL-4 R/B|COSMOS 410 DEB,COSMOS 410,CIS,1971-05-06
1971-041,SL-8 R/B,COSMOS 411|COSMOS 412|COSMOS 413|COSMOS 414|COSMOS 415|COSMOS 416|COSMOS 417|COSMOS 418,CIS,1971-05-07
1971-042,N/A,COSMOS 419,CIS,1971-05-10
1971-043,SL-4 R/B|COSMOS 420 DEB,COSMOS 420,CIS,1971-05-18
1971-044,SL-7 R/B,COSMOS 421,CIS,1971-05-19
1971-045,SL-12 R/B|SL-12 PLAT,MARS 2|MARS 2 CAPSULE,CIS,1971-05-19
1971-046,SL-8 R/B|COSMOS 422 DEB,COSMOS 422,CIS,1971-05-22
1971-047,SL-7 R/B,COSMOS 423,CIS,1971-05-27
1971-048,SL-4 R/B|COSMOS 424 DEB,COSMOS 424,CIS,1971-05-28
1971-049,SL-12 R/B|SL-12 PLAT|MARS 3 DEB,MARS 3|MARS 3 DESCENT CRAFT,CIS,1971-05-28
1971-050,SL-8 R/B|SL-8 DEB,COSMOS 425,CIS,1971-05-29
1971-051,ATLAS CENTAUR R/B,MARINER 9,US,1971-05-30
1971-052,SL-8 R/B|SL-8 DEB,COSMOS 426,CIS,1971-06-04
1971-053,SL-4 R/B,SOYUZ 11,CIS,1971-06-06
1971-054,N/A,OPS 3850,US,1971-06-08
1971-055,SL-4 R/B|SL-4 DEB|COSMOS 427 DEB,COSMOS 427,CIS,1971-06-11
1971-056,TITAN 3D R/B,OPS 8709,US,1971-06-15
1971-057,SL-6 R/B|SL-6 DEB,COSMOS 428,CIS,1971-06-24
1971-058,SCOUT B R/B|SCOUT B DEB,EXPLORER 44 (SOLRAD-10),US,1971-07-08
1971-059,SL-3 R/B|SL-3 DEB,METEOR 1-9,CIS,1971-07-16
1971-060,N/A,OPS 8373,US,1971-07-16
1971-061,SL-4 R/B|COSMOS 429 DEB,COSMOS 429,CIS,1971-07-20
1971-062,SL-4 R/B|SL-4 DEB|COSMOS 430 DEB,COSMOS 430,CIS,1971-07-23
1971-063,SATURN 5 R/B,APOLLO 15 CM|APOLLO 15 LM|APOLLO 15 SUBSATELLITE,US,1971-07-26
1971-064,SL-6 R/B(1)|SL-6 PLAT|SL-6 R/B(2)|SL-6 DEB,MOLNIYA 1-18,CIS,1971-07-28
1971-065,SL-4 R/B|SL-4 DEB,COSMOS 431,CIS,1971-07-30
1971-066,SL-4 R/B|SL-4 DEB|COSMOS 432 DEB,COSMOS 432,CIS,1971-08-05
1971-067,1971-067 DEB|1971-067 AKM|1971-067 DEB,OV1-20|OV1-21|CANNONBALL 2|MUSKETBALL|RIGIDSPHERE 2 (LCS 4)|AVL 802 [MYLAR BALLOON]|GRIDSPHERE 2|GRIDSPHERE 1|RIGIDSPHERE 1,US,1971-08-07
1971-068,SL-11 PLAT|SL-11 R/B,COSMOS 433,CIS,1971-08-08
1971-069,SL-4 R/B|COSMOS 434 DEB,COSMOS 434,CIS,1971-08-12
1971-070,OPS 8607 DEB,OPS 8607,US,1971-08-12
1971-071,SCOUT B-1 R/B|SCOUT B-1 DEB,EOLE 1 (CAS-A),FR,1971-08-16
1971-072,SL-7 R/B,COSMOS 435,CIS,1971-08-27
1971-073,SL-12 R/B(2)|SL-12 PLAT|SL-12 R/B(1)|SL-12 DEB,LUNA 18,CIS,1971-09-02
1971-074,SL-8 R/B|SL-8 DEB,COSMOS 436,CIS,1971-09-07
1971-075,SL-8 R/B|SL-8 DEB,COSMOS 437,CIS,1971-09-10
1971-076,OPS 7681 DEB,OPS 5454|OPS 7681,US,1971-09-10
1971-077,SL-4 R/B|SL-4 DEB|COSMOS 438 DEB,COSMOS 438,CIS,1971-09-14
1971-078,SL-4 R/B,COSMOS 439,CIS,1971-09-21
1971-079,SL-7 R/B,COSMOS 440,CIS,1971-09-24
1971-080,M-4S R/B,SHINSEI (MS-F2),JPN,1971-09-28
1971-081,SL-4 R/B|SL-4 DEB|COSMOS 441 DEB,COSMOS 441,CIS,1971-09-28
1971-082,SL-12 R/B(1)|SL-12 R/B(2)|SL-12 PLAT,LUNA 19,CIS,1971-09-28
1971-083,DELTA 1 R/B|DELTA 1 DEB,OSO 7|TETR 4,US,1971-09-29
1971-084,SL-4 R/B|COSMOS 442 DEB,COSMOS 442,CIS,1971-09-29
1971-085,SL-4 R/B|SL-4 DEB|COSMOS 443 DEB,COSMOS 443,CIS,1971-10-07
1971-086,SL-8 R/B,COSMOS 444|COSMOS 445|COSMOS 446|COSMOS 447|COSMOS 448|COSMOS 449|COSMOS 450|COSMOS 451,CIS,1971-10-13
1971-087,THOR BURNER 2 R/B,OPS 4311 (DMSP 5B F1),US,1971-10-14
1971-088,SL-4 R/B|COSMOS 452 DEB,COSMOS 452,CIS,1971-10-14
1971-089,N/A,ASTEX 1,US,1971-10-17
1971-090,SL-7 R/B|COSMOS 453 DEB,COSMOS 453,CIS,1971-10-19
1971-091,DELTA 1 DEB,ITOS-B & DELTA 1 R/B,US,1971-10-21
1971-092,OPS 7616 DEB,OPS 7616,US,1971-10-23
1971-093,BLACK ARROW R/B|BLACK ARROW DEB,PROSPERO (BLACK ARROW),UK,1971-10-28
1971-094,SL-4 R/B|COSMOS 454 DEB,COSMOS 454,CIS,1971-11-02
1971-095,TITAN 3C TRANSTAGE R/B,OPS 9431 (DSCS 2-1)|OPS 9432 (DSCS 2-2),US,1971-11-03
1971-096,SCOUT B R/B,EXPLORER 45 (SSS-A),US,1971-11-15
1971-097,SL-7 R/B,COSMOS 455,CIS,1971-11-17
1971-098,SL-4 R/B|SL-4 DEB|COSMOS 456 DEB,COSMOS 456,CIS,1971-11-19
1971-099,SL-8 R/B,COSMOS 457,CIS,1971-11-20
1971-100,SL-6 R/B(1)|SL-6 PLAT|SL-6 DEB|SL-6 R/B(2),MOLNIYA 2-1,CIS,1971-11-24
1971-101,SL-7 R/B,COSMOS 458,CIS,1971-11-29
1971-102,SL-11 R/B|SL-11 DEB,COSMOS 459,CIS,1971-11-29
1971-103,SL-8 R/B|SL-8 DEB,COSMOS 460,CIS,1971-11-30
1971-104,SL-7 R/B|SL-7 DEB,INTERCOSMOS 5,CIS,1971-12-02
1971-105,SL-8 R/B|SL-8 DEB,COSMOS 461,CIS,1971-12-02
1971-106,COSMOS 462 DEB|SL-11 R/B(1)|COSMOS 462 DEB|SL-11 R/B(2)|COSMOS 462 DEB,COSMOS 462,CIS,1971-12-03
1971-107,SL-4 R/B|SL-4 DEB|COSMOS 463 DEB,COSMOS 463,CIS,1971-12-06
1971-108,SL-4 R/B|SL-4 DEB|COSMOS 464 DEB,COSMOS 464,CIS,1971-12-10
1971-109,SCOUT B-1 R/B|SCOUT B-1 DEB,ARIEL 4 (UK-4),UK,1971-12-11
1971-110,THORAD AGENA D R/B,OPS 7898 (P/L 1)|OPS 7898 (P/L 2)|OPS 7898 (P/L 3)|OPS 7898 (P/L 4),US,1971-12-14
1971-111,SL-8 R/B,COSMOS 465,CIS,1971-12-15
1971-112,SL-4 R/B|COSMOS 466 DEB,COSMOS 466,CIS,1971-12-16
1971-113,SL-7 R/B,COSMOS 467,CIS,1971-12-17
1971-114,SL-8 R/B|SL-8 DEB|COSMOS 468 DEB,COSMOS 468,CIS,1971-12-17
1971-115,SL-6 R/B(2)|SL-6 R/B(1)|SL-6 PLAT,MOLNIYA 1-19,CIS,1971-12-19
1971-116,ATLAS CENTAUR R/B,INTELSAT 4-F3,ITSO,1971-12-20
1971-117,COSMOS 469 DEB [PELPS]|COSMOS 469 DEB [ANTENNA,COSMOS 469,CIS,1971-12-25
1971-118,SL-4 R/B|COSMOS 470 DEB,COSMOS 470,CIS,1971-12-27
1971-119,SL-8 R/B|SL-8 DEB,AUREOLE 1,FR,1971-12-27
1971-120,SL-3 R/B|METEOR 1-10 DEB,METEOR 1-10,CIS,1971-12-29
1972-001,SL-4 R/B|SL-4 DEB|COSMOS 471 DEB,COSMOS 471,CIS,1972-01-12
1972-002,TITAN 3D R/B|TITAN 3D DEB,OPS 1737|OPS 7719,US,1972-01-20
1972-003,ATLAS CENTAUR R/B,INTELSAT 4-F4,ITSO,1972-01-23
1972-004,SL-7 R/B,COSMOS 472,CIS,1972-01-25
1972-005,DELTA 1 R/B(1)|DELTA 1 R/B(2)|DELTA 1 DEB,HEOS-A2,ESRO,1972-01-31
1972-006,SL-4 R/B,COSMOS 473,CIS,1972-02-03
1972-007,SL-12 R/B(2)|SL-12 PLAT|SL-12 R/B(1)|LUNA 20 DEB,LUNA 20,CIS,1972-02-14
1972-008,SL-4 R/B|COSMOS 474 DEB,COSMOS 474,CIS,1972-02-16
1972-009,SL-8 R/B,COSMOS 475,CIS,1972-02-25
1972-010,TITAN 3C TRANSTAGE R/B|TITAN 3C R/B(1),OPS 1570 (DSP 3),US,1972-03-01
1972-011,SL-3 R/B|COSMOS 476 DEB,COSMOS 476,CIS,1972-03-01
1972-012,ATLAS CENTAUR R/B(2)|ATLAS CENTAUR R/B(1),PIONEER 10,US,1972-03-03
1972-013,SL-4 R/B|SL-4 DEB|COSMOS 477 DEB,COSMOS 477,CIS,1972-03-04
1972-014,DELTA 1 R/B|DELTA 1 DEB,TD-1A,ESRO,1972-03-12
1972-015,SL-4 R/B|SL-4 DEB|COSMOS 478 DEB,COSMOS 478,CIS,1972-03-15
1972-016,N/A,OPS 1678,US,1972-03-17
1972-017,SL-8 R/B|SL-8 DEB,COSMOS 479,CIS,1972-03-22
1972-018,THOR BURNER 2 R/B,OPS 5058 (DMSP 5B F2),US,1972-03-24
1972-019,SL-8 R/B,COSMOS 480,CIS,1972-03-25
1972-020,SL-7 R/B,COSMOS 481,CIS,1972-03-25
1972-021,SL-6 R/B|SL-6 PLAT,VENERA 8,CIS,1972-03-27
1972-022,SL-3 R/B|METEOR 1-11 DEB,METEOR 1-11,CIS,1972-03-30
1972-023,SL-6 R/B(1)|SL-6 PLAT|SL-6 R/B(2),COSMOS 482|COSMOS 482 DESCENT CRAF,CIS,1972-03-31
1972-024,SL-4 R/B|SL-4 DEB|COSMOS 483 DEB,COSMOS 483,CIS,1972-04-03
1972-025,SL-6 R/B(1)|SL-6 PLAT|SL-6 DEB|SL-6 R/B(2),MOLNIYA 1-20|SRET 1,CIS,1972-04-04
1972-026,SL-4 R/B|COSMOS 484 DEB,COSMOS 484,CIS,1972-04-06
1972-027,SL-4 R/B,INTERCOSMOS 6,CIS,1972-04-07
1972-028,SL-7 R/B,COSMOS 485,CIS,1972-04-11
1972-029,SL-6 R/B|SL-6 PLAT|SL-6 DEB,PROGNOZ 1,CIS,1972-04-14
1972-030,SL-4 R/B|SL-4 DEB|COSMOS 486 DEB,COSMOS 486,CIS,1972-04-14
1972-031,SATURN 5 R/B,APOLLO 16 CM|APOLLO 16 LM (ORION)|APOLLO 16 LUNAR P/L,US,1972-04-16
1972-032,N/A,OPS 5640,US,1972-04-19
1972-033,SL-7 R/B|COSMOS 487 DEB,COSMOS 487,CIS,1972-04-21
1972-034,SL-4 R/B|SL-4 DEB|COSMOS 488 DEB,COSMOS 488,CIS,1972-05-05
1972-035,SL-8 R/B,COSMOS 489,CIS,1972-05-06
1972-036,SL-4 R/B|COSMOS 490 DEB,COSMOS 490,CIS,1972-05-17
1972-037,SL-6 R/B(1)|SL-6 PLAT|SL-6 DEB|SL-6 R/B(2),MOLNIYA 2-2,CIS,1972-05-19
1972-038,SL-4 R/B|SL-4 DEB|COSMOS 491 DEB,COSMOS 491,CIS,1972-05-25
1972-039,N/A,OPS 6371,US,1972-05-25
1972-040,SL-4 R/B|COSMOS 492 DEB,COSMOS 492,CIS,1972-06-09
1972-041,ATLAS CENTAUR R/B,INTELSAT 4-F5,ITSO,1972-06-13
1972-042,SL-4 R/B|SL-4 DEB,COSMOS 493,CIS,1972-06-21
1972-043,SL-8 R/B|SL-8 DEB,COSMOS 494,CIS,1972-06-23
1972-044,SL-4 R/B|COSMOS 495 DEB,COSMOS 495,CIS,1972-06-23
1972-045,SL-4 R/B|COSMOS 496 DEB,COSMOS 496,CIS,1972-06-26
1972-046,SL-6 R/B|SL-6 PLAT|SL-6 DEB,PROGNOZ 2,CIS,1972-06-29
1972-047,SL-7 R/B|SL-7 DEB,INTERCOSMOS 7,CIS,1972-06-30
1972-048,SL-7 R/B|SL-7 DEB,COSMOS 497,CIS,1972-06-30
1972-049,SL-3 R/B|SL-3 DEB,METEOR 1-12,CIS,1972-06-30
1972-050,SL-7 R/B,COSMOS 498,CIS,1972-07-05
1972-051,SL-4 R/B|SL-4 DEB|COSMOS 499 DEB,COSMOS 499,CIS,1972-07-06
1972-052,TITAN 3D R/B,OPS 7293|OPS 7803,US,1972-07-07
1972-053,SL-8 R/B|SL-8 DEB,COSMOS 500,CIS,1972-07-10
1972-054,SL-7 R/B|COSMOS 501 DEB,COSMOS 501,CIS,1972-07-12
1972-055,SL-4 R/B|SL-4 DEB|COSMOS 502 DEB,COSMOS 502,CIS,1972-07-13
1972-056,SL-4 R/B|SL-4 DEB|COSMOS 503 DEB,COSMOS 503,CIS,1972-07-19
